cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
10180,48,441,48441,101.0,0,484410101000,48441010100
10180,48,441,48441,102.0,0,484410102000,48441010200
10180,48,441,48441,103.0,0,484410103000,48441010300
10180,48,441,48441,104.0,0,484410104000,48441010400
10180,48,441,48441,108.0,0,484410108000,48441010800
10180,48,441,48441,112.0,0,484410112000,48441011200
10180,48,441,48441,117.0,0,484410117000,48441011700
10180,48,441,48441,119.0,0,484410119000,48441011900
10180,48,441,48441,133.0,0,484410133000,48441013300
10380,72,3,72003,4304.02,0,720034304020,72003430402
10380,72,5,72005,4004.0,0,720054004000,72005400400
10380,72,5,72005,4006.0,0,720054006000,72005400600
10380,72,5,72005,4008.0,0,720054008000,72005400800
10380,72,5,72005,4009.0,0,720054009000,72005400900
10380,72,5,72005,4013.01,0,720054013010,72005401301
10380,72,5,72005,4015.0,0,720054015000,72005401500
10380,72,11,72011,8101.0,0,720118101000,72011810100
10380,72,71,72071,4104.04,0,720714104040,72071410404
10380,72,71,72071,4106.0,0,720714106000,72071410600
10380,72,71,72071,4107.01,0,720714107010,72071410701
10380,72,71,72071,4107.04,0,720714107040,72071410704
10380,72,99,72099,4203.03,0,720994203030,72099420303
10380,72,117,72117,9596.01,0,721179596010,72117959601
10380,72,131,72131,92.0,0,721310092000,72131009200
10380,72,131,72131,9593.0,0,721319593000,72131959300
10420,39,133,39133,6009.01,0,391336009010,39133600901
10420,39,133,39133,6009.02,0,391336009020,39133600902
10420,39,133,39133,6012.0,0,391336012000,39133601200
10420,39,133,39133,6014.0,0,391336014000,39133601400
10420,39,133,39133,6015.01,0,391336015010,39133601501
10420,39,133,39133,6015.02,0,391336015020,39133601502
10420,39,133,39133,6015.03,0,391336015030,39133601503
10420,39,153,39153,5011.0,0,391535011000,39153501100
10420,39,153,39153,5017.0,0,391535017000,39153501700
10420,39,153,39153,5018.0,0,391535018000,39153501800
10420,39,153,39153,5019.0,0,391535019000,39153501900
10420,39,153,39153,5021.01,0,391535021010,39153502101
10420,39,153,39153,5021.02,0,391535021020,39153502102
10420,39,153,39153,5022.0,0,391535022000,39153502200
10420,39,153,39153,5025.0,0,391535025000,39153502500
10420,39,153,39153,5026.0,0,391535026000,39153502600
10420,39,153,39153,5031.0,0,391535031000,39153503100
10420,39,153,39153,5032.0,0,391535032000,39153503200
10420,39,153,39153,5033.0,0,391535033000,39153503300
10420,39,153,39153,5034.0,0,391535034000,39153503400
10420,39,153,39153,5035.0,0,391535035000,39153503500
10420,39,153,39153,5038.0,0,391535038000,39153503800
10420,39,153,39153,5041.0,0,391535041000,39153504100
10420,39,153,39153,5042.0,0,391535042000,39153504200
10420,39,153,39153,5044.0,0,391535044000,39153504400
10420,39,153,39153,5045.0,0,391535045000,39153504500
10420,39,153,39153,5052.0,0,391535052000,39153505200
10420,39,153,39153,5053.0,0,391535053000,39153505300
10420,39,153,39153,5055.0,0,391535055000,39153505500
10420,39,153,39153,5056.0,0,391535056000,39153505600
10420,39,153,39153,5057.0,0,391535057000,39153505700
10420,39,153,39153,5062.0,0,391535062000,39153506200
10420,39,153,39153,5065.0,0,391535065000,39153506500
10420,39,153,39153,5066.0,0,391535066000,39153506600
10420,39,153,39153,5067.0,0,391535067000,39153506700
10420,39,153,39153,5068.0,0,391535068000,39153506800
10420,39,153,39153,5074.0,0,391535074000,39153507400
10420,39,153,39153,5075.02,0,391535075020,39153507502
10420,39,153,39153,5083.01,0,391535083010,39153508301
10420,39,153,39153,5083.99,0,391535083990,39153508399
10420,39,153,39153,5086.0,0,391535086000,39153508600
10420,39,153,39153,5088.0,0,391535088000,39153508800
10420,39,153,39153,5089.0,0,391535089000,39153508900
10420,39,153,39153,5090.0,0,391535090000,39153509000
10420,39,153,39153,5101.0,0,391535101000,39153510100
10420,39,153,39153,5103.01,0,391535103010,39153510301
10420,39,153,39153,5202.02,0,391535202020,39153520202
10500,13,95,13095,1.02,0,130950001020,13095000102
10500,13,95,13095,2.0,0,130950002000,13095000200
10500,13,95,13095,10.0,0,130950010000,13095001000
10500,13,95,13095,11.0,0,130950011000,13095001100
10500,13,95,13095,15.0,0,130950015000,13095001500
10500,13,95,13095,103.02,0,130950103020,13095010302
10500,13,95,13095,106.01,0,130950106010,13095010601
10500,13,95,13095,107.01,0,130950107010,13095010701
10500,13,95,13095,114.0,0,130950114000,13095011400
10500,13,273,13273,1203.0,0,132731203000,13273120300
10540,41,43,41043,208.01,0,410430208010,41043020801
10580,36,1,36001,1.0,0,360010001000,36001000100
10580,36,1,36001,2.01,0,360010002010,36001000201
10580,36,1,36001,2.02,0,360010002020,36001000202
10580,36,1,36001,3.01,0,360010003010,36001000301
10580,36,1,36001,3.02,0,360010003020,36001000302
10580,36,1,36001,5.01,0,360010005010,36001000501
10580,36,1,36001,5.02,0,360010005020,36001000502
10580,36,1,36001,6.0,0,360010006000,36001000600
10580,36,1,36001,7.0,0,360010007000,36001000700
10580,36,1,36001,11.0,0,360010011000,36001001100
10580,36,1,36001,15.0,0,360010015000,36001001500
10580,36,1,36001,21.0,0,360010021000,36001002100
10580,36,1,36001,22.0,0,360010022000,36001002200
10580,36,1,36001,23.0,0,360010023000,36001002300
10580,36,1,36001,25.0,0,360010025000,36001002500
10580,36,1,36001,128.0,0,360010128000,36001012800
10580,36,1,36001,132.0,0,360010132000,36001013200
10580,36,1,36001,133.0,0,360010133000,36001013300
10580,36,83,36083,401.0,0,360830401000,36083040100
10580,36,83,36083,402.0,0,360830402000,36083040200
10580,36,83,36083,404.0,0,360830404000,36083040400
10580,36,83,36083,405.0,0,360830405000,36083040500
10580,36,83,36083,406.0,0,360830406000,36083040600
10580,36,83,36083,407.01,0,360830407010,36083040701
10580,36,83,36083,409.0,0,360830409000,36083040900
10580,36,83,36083,411.02,0,360830411020,36083041102
10580,36,83,36083,515.0,0,360830515000,36083051500
10580,36,83,36083,516.01,0,360830516010,36083051601
10580,36,91,36091,622.0,0,360910622000,36091062200
10580,36,93,36093,201.02,0,360930201020,36093020102
10580,36,93,36093,202.0,0,360930202000,36093020200
10580,36,93,36093,203.0,0,360930203000,36093020300
10580,36,93,36093,207.0,0,360930207000,36093020700
10580,36,93,36093,208.0,0,360930208000,36093020800
10580,36,93,36093,209.0,0,360930209000,36093020900
10580,36,93,36093,210.02,0,360930210020,36093021002
10580,36,93,36093,214.0,0,360930214000,36093021400
10580,36,93,36093,215.0,0,360930215000,36093021500
10580,36,93,36093,216.0,0,360930216000,36093021600
10580,36,93,36093,217.0,0,360930217000,36093021700
10580,36,93,36093,323.0,0,360930323000,36093032300
10740,35,1,35001,1.24,0,350010001240,35001000124
10740,35,1,35001,2.08,0,350010002080,35001000208
10740,35,1,35001,5.01,0,350010005010,35001000501
10740,35,1,35001,6.03,0,350010006030,35001000603
10740,35,1,35001,6.05,0,350010006050,35001000605
10740,35,1,35001,7.13,0,350010007130,35001000713
10740,35,1,35001,7.17,0,350010007170,35001000717
10740,35,1,35001,9.04,0,350010009040,35001000904
10740,35,1,35001,9.05,0,350010009050,35001000905
10740,35,1,35001,9.06,0,350010009060,35001000906
10740,35,1,35001,9.07,0,350010009070,35001000907
10740,35,1,35001,9.08,0,350010009080,35001000908
10740,35,1,35001,12.01,0,350010012010,35001001201
10740,35,1,35001,13.0,0,350010013000,35001001300
10740,35,1,35001,14.0,0,350010014000,35001001400
10740,35,1,35001,15.0,0,350010015000,35001001500
10740,35,1,35001,17.02,0,350010017020,35001001702
10740,35,1,35001,18.0,0,350010018000,35001001800
10740,35,1,35001,20.0,0,350010020000,35001002000
10740,35,1,35001,21.0,0,350010021000,35001002100
10740,35,1,35001,23.02,0,350010023020,35001002302
10740,35,1,35001,24.03,0,350010024030,35001002403
10740,35,1,35001,34.0,0,350010034000,35001003400
10740,35,1,35001,37.07,0,350010037070,35001003707
10740,35,1,35001,37.33,0,350010037330,35001003733
10740,35,1,35001,43.0,0,350010043000,35001004300
10740,35,1,35001,45.01,0,350010045010,35001004501
10740,35,1,35001,47.15,0,350010047150,35001004715
10740,35,1,35001,47.35,0,350010047350,35001004735
10740,35,1,35001,47.36,0,350010047360,35001004736
10740,35,1,35001,47.49,0,350010047490,35001004749
10740,35,1,35001,47.59,0,350010047590,35001004759
10740,35,1,35001,47.6,0,350010047600,35001004760
10740,35,1,35001,49.0,0,350010049000,35001004900
